R_Priority,Weights,Data weightage %,Severity of defects,Complexity,Time,Cost,Number of defects linked,Test_Case,Sprint,Execution Status
S,2,35,2,5,6,210,25,T-mis-513, Sprint 3,F
S,2,35,2,5,6,210,25,T-mis-514,Sprint 1,P
S,2,35,2,5,6,210,25,T-mis-514, Sprint 2,F
S,2,35,2,5,6,210,25,T-mis-514, Sprint 3,F
S,2,35,2,3,5,105,15,T-mis-515,Sprint 1,F
S,2,35,2,3,5,105,15,T-mis-515, Sprint 2,F
S,2,35,2,3,5,105,15,T-mis-515, Sprint 3,P
S,2,35,2,3,5,105,15,T-mis-516,Sprint 1,F
S,2,35,2,3,5,105,15,T-mis-516, Sprint 2,F
S,2,35,2,3,5,105,15,T-mis-516, Sprint 3,P
S,2,35,2,3,2.5,52.5,15,T-mis-517,Sprint 1,F
S,2,35,2,3,2.5,52.5,15,T-mis-517, Sprint 2,F
S,2,35,2,3,2.5,52.5,15,T-mis-517, Sprint 3,P
S,2,35,2,3,2.5,52.5,15,T-mis-518,Sprint 1,F
S,2,35,2,3,2.5,52.5,15,T-mis-518, Sprint 2,F
S,2,35,2,3,2.5,52.5,15,T-mis-518, Sprint 3,P
S,2,35,3,3,5,105,15,T-mis-519,Sprint 1,P
S,2,35,3,3,5,105,15,T-mis-519, Sprint 2,F
S,2,35,3,3,5,105,15,T-mis-519, Sprint 3,P
S,2,35,3,3,5,105,15,T-mis-520,Sprint 1,P
S,2,35,3,3,5,105,15,T-mis-520, Sprint 2,F
S,2,35,3,3,5,105,15,T-mis-520, Sprint 3,P
S,2,35,3,3,5,105,15,T-mis-521,Sprint 1,P
S,2,35,3,3,5,105,15,T-mis-521, Sprint 2,F
S,2,35,3,3,5,105,15,T-mis-521, Sprint 3,P
S,2,35,3,3,5,105,15,T-mis-522,Sprint 1,P
S,2,35,3,3,5,105,15,T-mis-522, Sprint 2,F
S,2,35,3,3,5,105,15,T-mis-522, Sprint 3,P
S,2,35,3,3,5,105,15,T-mis-523,Sprint 1,P
S,2,35,3,3,5,105,15,T-mis-523, Sprint 2,F
S,2,35,3,3,5,105,15,T-mis-523, Sprint 3,P
S,2,35,3,3,5,105,15,T-mis-524,Sprint 1,P
S,2,35,3,3,5,105,15,T-mis-524, Sprint 2,F
S,2,35,3,3,5,105,15,T-mis-524, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-525,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-525, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-525, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-526,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-526, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-526, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-527,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-527, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-527, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-528,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-528, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-528, Sprint 3,P
S,2,35,3,1,1,7,5,T-mis-529,Sprint 1,F
S,2,35,3,1,1,7,5,T-mis-529, Sprint 2,P
S,2,35,3,1,1,7,5,T-mis-529, Sprint 3,P
S,2,35,1,3,5,105,15,T-mis-530,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-530, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-530, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-531,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-531, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-531, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-532,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-532, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-532, Sprint 3,F
S,2,35,3,1,2.5,17.5,5,T-mis-533,Sprint 1,P
S,2,35,3,1,2.5,17.5,5,T-mis-533, Sprint 2,F
S,2,35,3,1,2.5,17.5,5,T-mis-533, Sprint 3,P
S,2,35,3,1,2.5,17.5,5,T-mis-534,Sprint 1,P
S,2,35,3,1,2.5,17.5,5,T-mis-534, Sprint 2,F
S,2,35,3,1,2.5,17.5,5,T-mis-534, Sprint 3,P
S,2,35,3,5,1,35,25,T-mis-535,Sprint 1,P
S,2,35,3,5,1,35,25,T-mis-535, Sprint 2,F
S,2,35,3,5,1,35,25,T-mis-535, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-536,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-536, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-536, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-537,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-537, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-537, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-538,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-538, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-538, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-539,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-539, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-539, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-540,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-540, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-540, Sprint 3,P
S,2,35,3,3,1.5,31.5,15,T-mis-541,Sprint 1,P
S,2,35,3,3,1.5,31.5,15,T-mis-541, Sprint 2,F
S,2,35,3,3,1.5,31.5,15,T-mis-541, Sprint 3,P
S,2,35,2,5,2.5,87.5,25,T-mis-542,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-542, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-542, Sprint 3,P
S,2,35,2,5,2.5,87.5,25,T-mis-543,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-543, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-543, Sprint 3,P
S,2,35,2,5,2.5,87.5,25,T-mis-544,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-544, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-544, Sprint 3,P
S,2,35,2,5,2.5,87.5,25,T-mis-545,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-545, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-545, Sprint 3,P
S,2,35,3,5,1.5,52.5,25,T-mis-546,Sprint 1,P
S,2,35,3,5,1.5,52.5,25,T-mis-546, Sprint 2,F
S,2,35,3,5,1.5,52.5,25,T-mis-546, Sprint 3,P
S,2,35,3,3,1,21,15,T-mis-547,Sprint 1,P
S,2,35,3,3,1,21,15,T-mis-547, Sprint 2,P
S,2,35,3,3,1,21,15,T-mis-547, Sprint 3,F
S,2,35,3,5,2.5,87.5,25,T-mis-548,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-548, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-548, Sprint 3,F
S,2,35,3,5,2.5,87.5,25,T-mis-549,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-549, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-549, Sprint 3,F
S,2,35,1,3,4,84,15,T-mis-550,Sprint 1,F
S,2,35,1,3,4,84,15,T-mis-550, Sprint 2,F
S,2,35,1,3,4,84,15,T-mis-550, Sprint 3,F
S,2,35,1,3,4,84,15,T-mis-551,Sprint 1,F
S,2,35,1,3,4,84,15,T-mis-551, Sprint 2,F
S,2,35,1,3,4,84,15,T-mis-551, Sprint 3,F
S,2,35,1,3,4,84,15,T-mis-552,Sprint 1,F
S,2,35,1,3,4,84,15,T-mis-552, Sprint 2,F
S,2,35,1,3,4,84,15,T-mis-552, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-553,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-553, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-553, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-554,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-554, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-554, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-555,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-555, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-555, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-556,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-556, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-556, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-557,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-557, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-557, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-558,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-558, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-558, Sprint 3,F
S,2,35,3,1,1.5,10.5,5,T-mis-559,Sprint 1,P
S,2,35,3,1,1.5,10.5,5,T-mis-559, Sprint 2,P
S,2,35,3,1,1.5,10.5,5,T-mis-559, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-560,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-560, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-560, Sprint 3,P
S,2,35,2,1,4,28,5,T-mis-561,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-561, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-561, Sprint 3,P
S,2,35,2,1,4,28,5,T-mis-562,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-562, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-562, Sprint 3,P
S,2,35,2,1,4,28,5,T-mis-563,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-563, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-563, Sprint 3,P
S,2,35,2,5,1.5,52.5,25,T-mis-564,Sprint 1,P
S,2,35,2,5,1.5,52.5,25,T-mis-564, Sprint 2,F
S,2,35,2,5,1.5,52.5,25,T-mis-564, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-565,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-565, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-565, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-566,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-566, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-566, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-567,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-567, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-567, Sprint 3,P
S,2,35,3,1,2,14,5,T-mis-568,Sprint 1,P
S,2,35,3,1,2,14,5,T-mis-568, Sprint 2,F
S,2,35,3,1,2,14,5,T-mis-568, Sprint 3,P
S,2,35,3,1,2,14,5,T-mis-569,Sprint 1,P
S,2,35,3,1,2,14,5,T-mis-569, Sprint 2,F
S,2,35,3,1,2,14,5,T-mis-569, Sprint 3,P
S,2,35,3,3,1,21,15,T-mis-570,Sprint 1,F
S,2,35,3,3,1,21,15,T-mis-570, Sprint 2,P
S,2,35,3,3,1,21,15,T-mis-570, Sprint 3,P
S,2,35,3,5,4,140,25,T-mis-571,Sprint 1,P
S,2,35,3,5,4,140,25,T-mis-571, Sprint 2,P
S,2,35,3,5,4,140,25,T-mis-571, Sprint 3,F
S,2,35,3,5,4,140,25,T-mis-572,Sprint 1,P
S,2,35,3,5,4,140,25,T-mis-572, Sprint 2,P
S,2,35,3,5,4,140,25,T-mis-572, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-573,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-573, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-573, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-574,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-574, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-574, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-575,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-575, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-575, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-576,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-576, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-576, Sprint 3,F
S,2,35,2,5,1,35,25,T-mis-577,Sprint 1,P
S,2,35,2,5,1,35,25,T-mis-577, Sprint 2,F
S,2,35,2,5,1,35,25,T-mis-577, Sprint 3,F
S,2,35,2,1,3,21,5,T-mis-578,Sprint 1,P
S,2,35,2,1,3,21,5,T-mis-578, Sprint 2,F
S,2,35,2,1,3,21,5,T-mis-578, Sprint 3,F
S,2,35,2,1,3,21,5,T-mis-579,Sprint 1,P
S,2,35,2,1,3,21,5,T-mis-579, Sprint 2,F
S,2,35,2,1,3,21,5,T-mis-579, Sprint 3,F
S,2,35,2,1,3,21,5,T-mis-580,Sprint 1,P
S,2,35,2,1,3,21,5,T-mis-580, Sprint 2,F
S,2,35,2,1,3,21,5,T-mis-580, Sprint 3,F
S,2,35,1,5,3,105,25,T-mis-581,Sprint 1,F
S,2,35,1,5,3,105,25,T-mis-581, Sprint 2,F
S,2,35,1,5,3,105,25,T-mis-581, Sprint 3,F
S,2,35,1,5,3,105,25,T-mis-582,Sprint 1,F
S,2,35,1,5,3,105,25,T-mis-582, Sprint 2,F
S,2,35,1,5,3,105,25,T-mis-582, Sprint 3,F
S,2,35,1,5,2.5,87.5,25,T-mis-583,Sprint 1,F
S,2,35,1,5,2.5,87.5,25,T-mis-583, Sprint 2,F
S,2,35,1,5,2.5,87.5,25,T-mis-583, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-584,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-584, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-584, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-585,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-585, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-585, Sprint 3,P
S,2,35,2,1,4,28,5,T-mis-586,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-586, Sprint 2,P
S,2,35,2,1,4,28,5,T-mis-586, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-587,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-587, Sprint 2,P
S,2,35,2,1,4,28,5,T-mis-587, Sprint 3,F
S,2,35,1,5,2,70,25,T-mis-588,Sprint 1,F
S,2,35,1,5,2,70,25,T-mis-588, Sprint 2,F
S,2,35,1,5,2,70,25,T-mis-588, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-589,Sprint 1,P
S,2,35,2,1,2.5,17.5,5,T-mis-589, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-589, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-590,Sprint 1,P
S,2,35,2,1,2.5,17.5,5,T-mis-590, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-590, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-591,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-591, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-591, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-592,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-592, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-592, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-593,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-593, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-593, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-594,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-594, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-594, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-595,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-595, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-595, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-596,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-596, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-596, Sprint 3,F
S,2,35,1,3,8,168,15,T-mis-597,Sprint 1,F
S,2,35,1,3,8,168,15,T-mis-597, Sprint 2,F
S,2,35,1,3,8,168,15,T-mis-597, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-598,Sprint 1,P
S,2,35,2,1,2.5,17.5,5,T-mis-598, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-598, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-599,Sprint 1,P
S,2,35,2,1,2.5,17.5,5,T-mis-599, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-599, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-600,Sprint 1,P
S,2,35,2,1,2.5,17.5,5,T-mis-600, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-600, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-601,Sprint 1,P
S,2,35,2,1,2.5,17.5,5,T-mis-601, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-601, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-602,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-602, Sprint 2,P
S,2,35,2,5,4,140,25,T-mis-602, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-603,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-603, Sprint 2,P
S,2,35,2,5,4,140,25,T-mis-603, Sprint 3,F
S,2,35,3,5,1,35,25,T-mis-604,Sprint 1,F
S,2,35,3,5,1,35,25,T-mis-604, Sprint 2,P
S,2,35,3,5,1,35,25,T-mis-604, Sprint 3,P
S,2,35,1,5,5,175,25,T-mis-605,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-605, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-605, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-606,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-606, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-606, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-607,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-607, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-607, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-608,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-608, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-608, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-609,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-609, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-609, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-610,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-610, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-610, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-611,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-611, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-611, Sprint 3,F
S,2,35,2,1,2,14,5,T-mis-612,Sprint 1,F
S,2,35,2,1,2,14,5,T-mis-612, Sprint 2,F
S,2,35,2,1,2,14,5,T-mis-612, Sprint 3,P
S,2,35,2,1,2,14,5,T-mis-613,Sprint 1,F
S,2,35,2,1,2,14,5,T-mis-613, Sprint 2,F
S,2,35,2,1,2,14,5,T-mis-613, Sprint 3,P
S,2,35,3,3,2.5,52.5,15,T-mis-614,Sprint 1,P
S,2,35,3,3,2.5,52.5,15,T-mis-614, Sprint 2,F
S,2,35,3,3,2.5,52.5,15,T-mis-614, Sprint 3,P
S,2,35,3,3,2.5,52.5,15,T-mis-615,Sprint 1,P
S,2,35,3,3,2.5,52.5,15,T-mis-615, Sprint 2,F
S,2,35,3,3,2.5,52.5,15,T-mis-615, Sprint 3,P
S,2,35,2,3,2,42,15,T-mis-616,Sprint 1,P
S,2,35,2,3,2,42,15,T-mis-616, Sprint 2,F
S,2,35,2,3,2,42,15,T-mis-616, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-617,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-617, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-617, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-618,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-618, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-618, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-619,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-619, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-619, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-620,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-620, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-620, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-621,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-621, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-621, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-622,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-622, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-622, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-623,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-623, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-623, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-624,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-624, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-624, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-625,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-625, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-625, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-626,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-626, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-626, Sprint 3,P
S,2,35,3,3,4,84,15,T-mis-627,Sprint 1,P
S,2,35,3,3,4,84,15,T-mis-627, Sprint 2,F
S,2,35,3,3,4,84,15,T-mis-627, Sprint 3,P
S,2,35,3,3,4,84,15,T-mis-628,Sprint 1,P
S,2,35,3,3,4,84,15,T-mis-628, Sprint 2,F
S,2,35,3,3,4,84,15,T-mis-628, Sprint 3,P
S,2,35,3,3,4,84,15,T-mis-629,Sprint 1,P
S,2,35,3,3,4,84,15,T-mis-629, Sprint 2,F
S,2,35,3,3,4,84,15,T-mis-629, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-630,Sprint 1,F
S,2,35,3,1,4,28,5,T-mis-630, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-630, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-631,Sprint 1,F
S,2,35,3,1,4,28,5,T-mis-631, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-631, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-632,Sprint 1,F
S,2,35,3,1,4,28,5,T-mis-632, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-632, Sprint 3,P
S,2,35,1,1,4,28,5,T-mis-633,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-633, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-633, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-634,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-634, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-634, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-635,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-635, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-635, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-636,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-636, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-636, Sprint 3,F
S,2,35,2,5,5,175,25,T-mis-637,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-637, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-637, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-638,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-638, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-638, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-639,Sprint 1,P
S,2,35,3,1,4,28,5,T-mis-639, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-639, Sprint 3,F
S,2,35,3,1,4,28,5,T-mis-640,Sprint 1,P
S,2,35,3,1,4,28,5,T-mis-640, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-640, Sprint 3,F
S,2,35,3,1,4,28,5,T-mis-641,Sprint 1,P
S,2,35,3,1,4,28,5,T-mis-641, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-641, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-642,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-642, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-642, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-643,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-643, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-643, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-644,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-644, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-644, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-645,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-645, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-645, Sprint 3,F
S,2,35,2,5,1,35,25,T-mis-646,Sprint 1,P
S,2,35,2,5,1,35,25,T-mis-646, Sprint 2,F
S,2,35,2,5,1,35,25,T-mis-646, Sprint 3,F
S,2,35,2,3,5,105,15,T-mis-647,Sprint 1,F
S,2,35,2,3,5,105,15,T-mis-647, Sprint 2,F
S,2,35,2,3,5,105,15,T-mis-647, Sprint 3,P
S,2,35,2,3,5,105,15,T-mis-648,Sprint 1,F
S,2,35,2,3,5,105,15,T-mis-648, Sprint 2,F
S,2,35,2,3,5,105,15,T-mis-648, Sprint 3,P
S,2,35,2,3,5,105,15,T-mis-649,Sprint 1,F
S,2,35,2,3,5,105,15,T-mis-649, Sprint 2,F
S,2,35,2,3,5,105,15,T-mis-649, Sprint 3,P
S,2,35,2,3,5,105,15,T-mis-650,Sprint 1,F
S,2,35,2,3,5,105,15,T-mis-650, Sprint 2,F
S,2,35,2,3,5,105,15,T-mis-650, Sprint 3,P
S,2,35,2,3,1,21,15,T-mis-651,Sprint 1,F
S,2,35,2,3,1,21,15,T-mis-651, Sprint 2,F
S,2,35,2,3,1,21,15,T-mis-651, Sprint 3,P
S,2,35,3,1,1,7,5,T-mis-652,Sprint 1,F
S,2,35,3,1,1,7,5,T-mis-652, Sprint 2,P
S,2,35,3,1,1,7,5,T-mis-652, Sprint 3,P
S,2,35,2,5,2,70,25,T-mis-653,Sprint 1,F
S,2,35,2,5,2,70,25,T-mis-653, Sprint 2,F
S,2,35,2,5,2,70,25,T-mis-653, Sprint 3,P
